visited,adm0_dif,type,adm0_a3,name_long,iso_a3
0,0,Sovereign country,AFG,Afghanistan,AFG
0,0,Sovereign country,AGO,Angola,AGO
0,1,Dependency,AIA,Anguilla,AIA
0,0,Sovereign country,ALB,Albania,ALB
0,1,Country,ALD,Aland Islands,ALA
0,0,Sovereign country,AND,Andorra,AND
0,0,Sovereign country,ARE,United Arab Emirates,ARE
0,0,Sovereign country,ARG,Argentina,ARG
0,0,Sovereign country,ARM,Armenia,ARM
0,1,Dependency,ASM,American Samoa,ASM
0,0,Indeterminate,ATA,Antarctica,ATA
0,1,Dependency,ATC,Ashmore and Cartier Islands,-99
0,1,Dependency,ATF,French Southern and Antarctic Lands,ATF
0,0,Sovereign country,ATG,Antigua and Barbuda,ATG
0,1,Country,AUS,Australia,AUS
1,0,Sovereign country,AUT,Austria,AUT
0,0,Sovereign country,AZE,Azerbaijan,AZE
0,0,Sovereign country,BDI,Burundi,BDI
1,0,Sovereign country,BEL,Belgium,BEL
0,0,Sovereign country,BEN,Benin,BEN
0,0,Sovereign country,BFA,Burkina Faso,BFA
0,0,Sovereign country,BGD,Bangladesh,BGD
0,0,Sovereign country,BGR,Bulgaria,BGR
0,0,Sovereign country,BHR,Bahrain,BHR
0,0,Sovereign country,BHS,Bahamas,BHS
0,0,Sovereign country,BIH,Bosnia and Herzegovina,BIH
0,1,Dependency,BLM,Saint-Barthlemy,BLM
0,0,Sovereign country,BLR,Belarus,BLR
0,0,Sovereign country,BLZ,Belize,BLZ
0,1,Dependency,BMU,Bermuda,BMU
0,0,Sovereign country,BOL,Bolivia,BOL
1,0,Sovereign country,BRA,Brazil,BRA
0,0,Sovereign country,BRB,Barbados,BRB
0,0,Sovereign country,BRN,Brunei Darussalam,BRN
0,0,Sovereign country,BTN,Bhutan,BTN
0,0,Sovereign country,BWA,Botswana,BWA
0,0,Sovereign country,CAF,Central African Republic,CAF
1,0,Sovereign country,CAN,Canada,CAN
1,0,Sovereign country,CHE,Switzerland,CHE
0,0,Sovereign country,CHL,Chile,CHL
