origin,destination,year,value
2,3,2003,180
5,1,2012,2
4,5,2014,172
2,2,2014,418880
2,1,2006,7822
3,4,2013,96786
1,3,2008,90118
3,2,2012,329817
1,3,2004,84098
1,2,2010,643518
3,1,2004,68531
2,4,2008,40465
1,3,2005,83877
4,4,2006,150197
4,2,2010,11830
5,3,2013,6
4,2,2004,11875
2,4,2013,28684
4,1,2003,8
3,5,2012,3175
3,1,2005,83601
1,2,2008,662554
1,4,2005,193520
5,4,2004,1274
4,4,2011,475242
5,5,2011,392
2,2,2007,465906
5,3,2010,4
2,3,2009,94
2,2,2005,583987
5,5,2009,191
3,4,2010,102566
5,5,2014,703
2,5,2009,641
4,1,2007,3
3,5,2006,37139
2,4,2003,174851
4,3,2012,7
2,4,2011,32443
2,4,2006,306693
1,4,2009,196455
3,5,2008,1662
1,3,2007,88219
3,2,2003,237456
5,4,2012,1078
2,5,2013,368
3,3,2011,2824808
1,2,2012,632482
2,4,2007,42432
1,1,2010,5490385
4,4,2004,84376
2,2,2003,891016
3,3,2007,2389881
1,4,2014,182838
1,5,2012,35104
1,2,2003,787154
1,5,2007,29363
2,5,2008,730
2,2,2009,483796
2,5,2010,470
2,2,2013,203207
2,5,2012,395
5,1,2013,2
5,4,2014,597
1,3,2010,87378
3,5,2011,2795
5,2,2009,68
3,2,2008,273183
5,4,2008,1833
3,2,2007,258107
1,3,2011,86833
1,3,2009,88011
5,5,2013,598
4,4,2005,105883
2,2,2008,491401
3,3,2004,2917856
4,1,2011,9
5,4,2007,1787
3,2,2013,320617
4,2,2007,15314
3,5,2005,32352
2,1,2010,5606
1,1,2004,3705994
4,3,2004,8
4,3,2005,1
4,4,2003,78659
4,2,2006,14900
1,1,2012,4766549
5,4,2013,833
4,5,2006,174
3,3,2014,3877715
2,2,2010,458877
4,2,2014,10260
3,4,2005,161606
2,4,2010,35016
4,4,2013,490554
5,2,2007,128
1,2,2014,602217
3,3,2003,3046370
4,1,2012,12
2,2,2011,432826
3,1,2014,301897
2,1,2007,7183
1,2,2009,654080
3,1,2006,98240
1,1,2009,5423110
3,3,2008,2224343
5,5,2004,39
1,1,2006,4431475
5,2,2003,97
4,4,2014,457039
4,5,2012,200
4,1,2008,4
5,4,2006,1685
4,5,2004,262
4,4,2012,483332
4,3,2010,6
4,5,2008,328
2,3,2004,189
3,1,2008,154017
3,2,2004,244111
3,3,2010,2308891
2,3,2005,100
1,4,2007,199517
3,1,2003,64132
1,3,2014,248056
3,4,2004,152350
2,5,2014,255
4,4,2009,452741
5,3,2012,5
4,3,2011,6
1,2,2006,664182
1,5,2014,39439
1,5,2010,29718
1,2,2007,657315
2,1,2012,1327
3,3,2009,2193446
3,5,2010,2414
2,5,2004,9731
4,4,2008,435013
3,1,2013,295290
1,2,2013,514334
3,5,2013,3660
2,4,2009,37539
1,4,2006,308749
5,4,2011,1408
5,5,2006,62
5,5,2005,48
2,1,2003,18470
1,4,2012,179697
4,3,2008,5
1,5,2004,38550
2,5,2003,13336
2,3,2011,91
2,2,2006,454272
1,3,2013,237634
4,1,2013,6
1,4,2010,190866
3,4,2009,109776
4,2,2009,12229
2,1,2013,1185
5,2,2008,98
3,2,2006,250239
2,4,2012,30827
4,3,2009,8
1,5,2013,38564
1,2,2004,742730
3,1,2010,219484
1,4,2003,184508
1,3,2003,84961
3,5,2003,17106
2,3,2008,101
3,4,2011,100096
5,4,2005,1370
4,1,2010,4
4,2,2012,12302
5,2,2014,28
5,2,2006,102
4,2,2008,13839
3,5,2009,2091
4,2,2011,12463
4,1,2005,1
2,3,2006,97
5,2,2005,97
5,5,2007,124
3,3,2013,3126151
4,3,2003,11
1,3,2006,76787
5,5,2003,35
4,5,2011,234
4,5,2010,247
1,1,2005,3408121
2,3,2010,94
1,5,2009,31544
1,2,2005,704108
2,4,2005,97612
4,5,2003,334
1,4,2008,197436
3,4,2003,136526
5,4,2009,1846
1,1,2014,7638277
2,1,2014,1075
4,3,2007,2
1,4,2004,180874
5,4,2010,1746
1,4,2013,181688
5,3,2014,12
1,1,2013,6020667
3,2,2010,314454
1,2,2011,629198
3,2,2014,343796
1,3,2012,99492
4,2,2003,12552
4,5,2013,189
2,1,2005,10611
2,3,2012,94
5,5,2010,278
2,3,2013,95
1,5,2005,41039
3,3,2005,2663029
2,1,2004,25500
2,3,2014,61
2,1,2011,1588
5,2,2013,61
2,5,2011,439
2,4,2004,122889
5,5,2012,504
5,2,2012,93
5,2,2010,81
2,4,2014,26397
4,1,2004,1
4,4,2007,611703
3,1,2009,190956
3,1,2007,121498
5,2,2004,103
3,4,2014,93857
5,2,2011,86
2,5,2005,5994
3,2,2011,323041
5,5,2008,143
3,4,2007,120163
1,4,2011,185589
3,5,2004,26875
4,2,2005,12374
3,5,2007,1660
4,4,2010,461721
3,3,2006,2507693
4,3,2013,7
4,5,2009,296
3,4,2012,98177
1,1,2003,3472418
4,5,2007,631
3,2,2005,272937
1,1,2007,6171867
3,1,2012,291857
3,4,2006,262821
4,5,2005,224
2,1,2008,6755
1,5,2008,29594
1,5,2006,42736
3,5,2014,4171
3,3,2012,2954771
1,1,2008,5545426
3,2,2009,308893
1,1,2011,4841303
2,3,2007,99
4,1,2009,2
2,1,2009,6175
3,1,2011,260900
2,2,2004,790093
4,3,2006,2
3,4,2008,115899
5,3,2011,4
2,2,2012,424178
5,4,2003,1083
1,5,2011,29790
4,2,2013,10684
1,5,2003,37563
2,5,2007,796
2,5,2006,3425
