origin,destination,year,value
4,31,2003,171
4,36,2003,7240
4,40,2003,1595
4,50,2003,1
4,56,2003,541
4,76,2003,11
4,100,2003,1829
4,112,2003,459
4,116,2003,13
4,124,2003,14616
4,144,2003,12
4,148,2003,14
4,152,2003,17
4,156,2003,8
4,191,2003,1
4,192,2003,23
4,196,2003,3
4,203,2003,240
4,208,2003,6369
4,218,2003,29
4,231,2003,3
4,233,2003,6
4,246,2003,1101
4,250,2003,1167
4,265,2003,4
4,276,2003,46975
4,300,2003,135
4,348,2003,1705
4,356,2003,10283
4,360,2003,79
4,364,2003,834699
4,372,2003,38
4,380,2003,186
4,384,2003,7
4,392,2003,61
4,398,2003,657
4,410,2003,1
4,414,2003,78
4,417,2003,648
4,422,2003,49
4,428,2003,1
4,440,2003,89
4,458,2003,18
4,470,2003,8
4,484,2003,2
4,498,2003,5
4,504,2003,8
4,528,2003,26433
4,554,2003,618
4,578,2003,3309
4,586,2003,1123647
4,616,2003,70
4,620,2003,5
4,634,2003,40
4,642,2003,298
4,643,2003,1541
4,682,2003,107
4,688,2003,2
4,703,2003,165
4,710,2003,15
4,716,2003,82
4,724,2003,94
4,752,2003,3425
4,756,2003,1598
4,760,2003,425
4,762,2003,3304
4,764,2003,12
4,784,2003,6
4,792,2003,83
4,795,2003,1224
4,804,2003,1510
4,807,2003,1
4,818,2003,35
4,826,2003,21718
4,840,2003,9601
4,860,2003,5470
4,31,2004,148
4,36,2004,8037
4,40,2004,2482
4,50,2004,1
4,56,2004,536
4,76,2004,11
4,100,2004,1908
4,112,2004,534
4,116,2004,7
4,124,2004,15242
4,144,2004,15
4,152,2004,15
4,156,2004,7
4,191,2004,1
4,192,2004,17
4,196,2004,9
4,203,2004,247
4,208,2004,6437
4,218,2004,29
4,231,2004,4
4,233,2004,6
4,246,2004,1342
4,250,2004,1220
4,265,2004,4
4,276,2004,38576
4,300,2004,145
4,344,2004,1
4,348,2004,2497
4,356,2004,9761
4,360,2004,45
4,364,2004,952802
4,372,2004,58
4,380,2004,242
4,384,2004,7
4,392,2004,61
4,398,2004,670
4,400,2004,2
4,410,2004,1
4,414,2004,78
4,417,2004,258
4,422,2004,31
4,428,2004,1
4,440,2004,94
4,458,2004,26
4,470,2004,8
4,484,2004,1
4,498,2004,5
4,508,2004,1
4,528,2004,25907
4,554,2004,1142
4,578,2004,3693
4,586,2004,1290408
4,616,2004,90
4,620,2004,5
4,634,2004,40
4,642,2004,280
4,643,2004,1488
4,688,2004,2
4,703,2004,122
4,710,2004,15
4,716,2004,22
4,724,2004,88
4,752,2004,3903
4,756,2004,1524
4,760,2004,360
4,762,2004,1816
4,764,2004,3
4,792,2004,64
4,795,2004,1030
4,804,2004,1290
4,807,2004,1
4,818,2004,35
4,826,2004,22494
4,840,2004,9778
4,860,2004,5238
4,31,2005,90
4,36,2005,8082
4,40,2005,2991
4,50,2005,1
4,56,2005,381
4,68,2005,2
4,76,2005,18
4,100,2005,1930
4,112,2005,517
4,116,2005,2
4,124,2005,15535
4,144,2005,4
4,152,2005,16
4,156,2005,7
4,192,2005,9
4,196,2005,3
4,203,2005,241
4,208,2005,6381
4,218,2005,29
4,231,2005,1
4,233,2005,2
4,246,2005,1604
4,250,2005,1228
4,265,2005,4
4,276,2005,31055
4,300,2005,153
4,344,2005,2
