ID,Country,Year,Wat_N_p,Wat_R_p,Wat_U_p,San_N_p,San_R_p,San_U_p,,P_Wat_U_p,P_Wat_R_p,P_Wat_N_p,P_San_U_p,P_San_R_p,P_San_N_p
4,Afghanistan,2000,0,0,0,0,46.33766,32.35418,,0,0,0,0,3587336,3587336
4,Afghanistan,2001,12.76596,0,0.00005,0,48.61357,34.33274,,6,0,6,0,3809767,3809767
4,Afghanistan,2002,5.35714,0,0.00003,0,38.53507,24.19299,,3,0,3,0,2510294,2510294
4,Afghanistan,2003,17.1875,0,0.00023,0,36.23497,22.85666,,22,0,22,0,2136043,2136043
4,Afghanistan,2004,17.64706,0,0.00032,0,39.71197,25.97627,,30,0,30,0,2414468,2414468
4,Afghanistan,2005,0,0,0.00037,0,38.95935,25.33652,,0,0,32,0,2166149,2166149
4,Afghanistan,2006,0,0,0.00036,0,31.69497,21.71637,,0,0,35,0,2107519,2107519
4,Afghanistan,2007,0,0,0.00037,0,35.82039,27.12932,,0,0,42,0,3057661,3057661
4,Afghanistan,2008,0,0,0.00035,0,37.16676,27.31532,,0,0,37,0,2833128,2833128
4,Afghanistan,2009,0,0,0.00036,0,37.42125,28.08214,,0,0,37,0,2887123,2887123
4,Afghanistan,2010,0,0,0.06088,0,38.52369,29.22423,,0,0,6434,0,3054709,3054709
4,Afghanistan,2011,0,0,0.02938,0,34.37089,26.01585,,0,0,3009,0,2664436,2664436
4,Afghanistan,2012,0,0,0.15647,0,33.55097,24.9979,,0,0,16187,0,2586152,2586152
4,Afghanistan,2013,0,0,0.14573,0,27.80245,22.09244,,0,0,16863,0,2556502,2556502
4,Afghanistan,2014,0,0,2.10863,0,23.56373,18.20173,,0,0,300421,0,2593332,2593332
8,Albania,2000,0,0,0.00467,0,0,0.06135,,0,0,523,0,0,6802
8,Albania,2001,0,0,0.0026,0,0,0.06872,,0,0,292,0,0,7626
8,Albania,2002,30.35714,0,0.00016,0,0,0.10371,,17,0,17,0,0,10761
8,Albania,2003,20.3125,0,0.00027,0,0,0.11112,,26,0,26,0,0,10385
8,Albania,2004,0,0,0.00054,0,0,0.11273,,0,0,51,0,0,10478
