type;id;time;A;D;latitude;longitude;altitude;speed;distance;distance_interval;name;stop;stop id;stop time;arrival;departure
T;1;14:48:14;14:48:14;14:48:14;51,05750275;13,73105621;117,4;0;0,00;0;Lazslo;-1;;0:00:00;0:00:00;0:00:00
T;2;14:48:17;14:48:17;14:48:17;51,05750656;13,73105907;116,9;0,6;0,50;0,47;Lazslo;0;;0:00:00;0:00:03;0:00:03
T;3;14:48:22;14:48:22;14:48:22;51,05763626;13,7309227;115;12,4;17,80;17,31;Lazslo;0;;0:00:00;0:00:08;0:00:08
T;4;14:48:25;14:48:25;14:48:25;51,057724;13,7308197;113,1;14,5;29,90;12,14;Lazslo;0;;0:00:00;0:00:11;0:00:11
T;5;14:48:29;14:48:29;14:48:29;51,0577507;13,73061371;111,2;13,2;44,70;14,74;Lazslo;0;;0:00:00;0:00:15;0:00:15
T;6;14:48:34;14:48:34;14:48:34;51,05771637;13,73033619;111,7;14,2;64,50;19,83;Lazslo;0;;0:00:00;0:00:20;0:00:20
T;7;14:48:38;14:48:38;14:48:38;51,0577507;13,73013115;113,1;13,3;79,40;14,87;Lazslo;0;;0:00:00;0:00:24;0:00:24
T;8;14:48:44;14:48:44;14:48:44;51,05772781;13,72983742;114,5;12,4;100,10;20,75;Lazslo;0;;0:00:00;0:00:30;0:00:30
T;9;14:48:46;14:48:46;14:48:46;51,05775833;13,72974873;114,5;12,7;107,20;7,08;Lazslo;0;;0:00:00;0:00:32;0:00:32
T;10;14:48:52;14:48:51;14:48:53;51,05786896;13,72949696;117,4;0;128,70;21,5;Lazslo;1;1;0:00:02;0:00:37;0:00:39
T;11;14:48:53;14:48:53;14:48:53;51,05787659;13,7294817;117,4;4,9;130,10;1,4;Lazslo;0;;0:00:00;0:00:39;0:00:39
T;12;14:48:58;14:48:58;14:48:58;51,0579567;13,72935772;117,4;8,9;142,50;12,4;Lazslo;0;;0:00:00;0:00:44;0:00:44
