type;id;time;arrival;departure;latitude;longitude;altitude;speed;distance;distance_interval;name;stop;stop id;stop time
T;1;14:47:08;14:47:08;14:47:08;51,057475;13,731043;92;0;0;0;MJ;-1;;0:00:00
T;2;14:47:30;14:47:30;14:47:30;51,057502;13,731059;92;0,5;3,2;3,21;MJ;0;;0:00:00
T;3;14:47:32;14:47:32;14:47:32;51,057553;13,73101;92;11,9;9,8;6,63;MJ;0;;0:00:00
T;4;14:47:34;14:47:34;14:47:34;51,057603;13,730928;92;14,4;17,8;8;MJ;0;;0:00:00
T;5;14:47:36;14:47:36;14:47:36;51,057623;13,73082;92;14,2;25,7;7,89;MJ;0;;0:00:00
T;6;14:47:38;14:47:38;14:47:38;51,057623;13,730734;92;10,8;31,8;6,03;MJ;0;;0:00:00
T;7;14:47:40;14:47:40;14:47:40;51,057654;13,730673;92;9,9;37,3;5,49;MJ;0;;0:00:00
T;8;14:47:42;14:47:42;14:47:42;51,057694;13,730634;92;9,4;42,5;5,22;MJ;0;;0:00:00
T;9;14:47:44;14:47:44;14:47:44;51,057733;13,730599;92;9;47,5;4,98;MJ;0;;0:00:00
T;10;14:47:46;14:47:46;14:47:46;51,057766;13,730541;92;9,8;52,9;5,48;MJ;0;;0:00:00
T;11;14:47:48;14:47:48;14:47:48;51,057819;13,730482;92;12,9;60,1;7,2;MJ;0;;0:00:00
T;12;14:47:50;14:47:50;14:47:50;51,057883;13,730422;92;14,9;68,4;8,27;MJ;0;;0:00:00
T;13;14:47:52;14:47:52;14:47:52;51,057919;13,730321;92;14,6;76,5;8,14;MJ;0;;0:00:00
T;14;14:47:54;14:47:54;14:47:54;51,057949;13,730216;92;14,5;84,6;8,08;MJ;0;;0:00:00
T;15;14:47:56;14:47:56;14:47:56;51,057962;13,730126;92;11,6;91,1;6,47;MJ;0;;0:00:00
T;16;14:47:58;14:47:58;14:47:58;51,057946;13,730043;92;10,9;97,2;6,09;MJ;0;;0:00:00
T;17;14:47:59;14:47:59;14:47:59;51,057912;13,729957;92;25,6;104,3;7,12;MJ;0;;0:00:00
T;18;14:48:02;14:48:02;14:48:02;51,057884;13,729886;92;7;110,2;5,87;MJ;0;;0:00:00
T;19;14:48:04;14:48:04;14:48:04;51,057872;13,729784;92;13,1;117,5;7,27;MJ;0;;0:00:00
T;20;14:48:06;14:48:06;14:48:06;51,057855;13,729647;92;17,6;127,2;9,79;MJ;0;;0:00:00
T;21;14:48:08;14:48:08;14:48:18;51,057844;13,729553;92;0;133,9;6,7;MJ;1;1;0:00:10
T;27;14:48:20;14:48:20;14:48:20;51,057808;13,729598;92;9,8;152,5;18,6;MJ;0;;0:00:00
T;28;14:48:22;14:48:22;14:48:22;51,057732;13,729611;92;15,3;161;8,5;MJ;0;;0:00:00
T;29;14:48:24;14:48:24;14:48:24;51,057654;13,729638;92;16;169,8;8,8;MJ;0;;0:00:00
T;30;14:48:26;14:48:26;14:48:26;51,057586;13,729669;92;14,2;177,7;7,9;MJ;0;;0:00:00
T;31;14:48:28;14:48:28;14:48:28;51,057528;13,729689;92;11,9;184,3;6,6;MJ;0;;0:00:00
T;32;14:48:30;14:48:30;14:48:30;51,057471;13,729706;92;11,6;190,8;6,5;MJ;0;;0:00:00
T;33;14:48:32;14:48:32;14:48:32;51,057417;13,729728;92;11,2;197;6,2;MJ;0;;0:00:00
T;34;14:48:34;14:48:34;14:48:34;51,057372;13,729696;92;9,9;202,5;5,5;MJ;0;;0:00:00
T;35;14:48:36;14:48:36;14:48:36;51,057347;13,72968;92;5,4;205,5;3;MJ;0;;0:00:00
T;36;14:48:40;14:48:40;14:48:40;51,057317;13,729674;92;3;208,8;3,3;MJ;0;;0:00:00
T;37;14:48:42;14:48:42;14:48:42;51,057274;13,729622;92;10,8;214,8;6;MJ;0;;0:00:00
T;38;14:48:44;14:48:44;14:48:44;51,057217;13,729555;92;14,2;222,7;7,9;MJ;0;;0:00:00
