marker, lon, lat
00, 13.731043, 51.057475
01, 13.729558, 51.057850
02, 13.729282, 51.056561
03, 13.727177, 51.057285
04, 13.726403, 51.056698
05, 13.724691, 51.055545
06, 13.725436, 51.053821
07, 13.723812, 51.054190
08, 13.723564, 51.054504
09, 13.725921, 51.054877
10, 13.728338, 51.053299
11, 13.726842, 51.053106
12, 13.725436, 51.054155
13, 13.726565, 51.054149
14, 13.727817, 51.053390
15, 13.733323, 51.053941
16, 13.735310, 51.055521
17, 13.735504, 51.055747
18, 13.733609, 51.056014
19, 13.732255, 51.057543
20, 13.732554, 51.058217
21, 13.731970, 51.058398
22, 13.731407, 51.058886







